"","File","Sample","Animal","Treatment","Time","Group","Timepoint"
"N1178_CN_24H","N1178_CN_24H","N1178_CN_24H","N1178","CN","24H","CN_24H",24
"N1178_CN_2H","N1178_CN_2H","N1178_CN_2H","N1178","CN","2H","CN_2H",2
"N1178_CN_48H","N1178_CN_48H","N1178_CN_48H","N1178","CN","48H","CN_48H",48
"N1178_CN_6H","N1178_CN_6H","N1178_CN_6H","N1178","CN","6H","CN_6H",6
"N1178_MB_24H","N1178_MB_24H","N1178_MB_24H","N1178","MB","24H","MB_24H",24
"N1178_MB_2H","N1178_MB_2H","N1178_MB_2H","N1178","MB","2H","MB_2H",2
"N1178_MB_48H","N1178_MB_48H","N1178_MB_48H","N1178","MB","48H","MB_48H",48
"N1178_MB_6H","N1178_MB_6H","N1178_MB_6H","N1178","MB","6H","MB_6H",6
"N1178_TB_24H","N1178_TB_24H","N1178_TB_24H","N1178","TB","24H","TB_24H",24
"N1178_TB_2H","N1178_TB_2H","N1178_TB_2H","N1178","TB","2H","TB_2H",2
"N1178_TB_48H","N1178_TB_48H","N1178_TB_48H","N1178","TB","48H","TB_48H",48
"N1178_TB_6H","N1178_TB_6H","N1178_TB_6H","N1178","TB","6H","TB_6H",6
"N121_CN_24H","N121_CN_24H","N121_CN_24H","N121","CN","24H","CN_24H",24
"N121_CN_2H","N121_CN_2H","N121_CN_2H","N121","CN","2H","CN_2H",2
"N121_CN_48H","N121_CN_48H","N121_CN_48H","N121","CN","48H","CN_48H",48
"N121_CN_6H","N121_CN_6H","N121_CN_6H","N121","CN","6H","CN_6H",6
"N121_MB_24H","N121_MB_24H","N121_MB_24H","N121","MB","24H","MB_24H",24
"N121_MB_2H","N121_MB_2H","N121_MB_2H","N121","MB","2H","MB_2H",2
"N121_MB_48H","N121_MB_48H","N121_MB_48H","N121","MB","48H","MB_48H",48
"N121_MB_6H","N121_MB_6H","N121_MB_6H","N121","MB","6H","MB_6H",6
"N121_TB_24H","N121_TB_24H","N121_TB_24H","N121","TB","24H","TB_24H",24
"N121_TB_2H","N121_TB_2H","N121_TB_2H","N121","TB","2H","TB_2H",2
"N121_TB_48H","N121_TB_48H","N121_TB_48H","N121","TB","48H","TB_48H",48
"N121_TB_6H","N121_TB_6H","N121_TB_6H","N121","TB","6H","TB_6H",6
"N138_CN_24H","N138_CN_24H","N138_CN_24H","N138","CN","24H","CN_24H",24
"N138_CN_2H","N138_CN_2H","N138_CN_2H","N138","CN","2H","CN_2H",2
"N138_CN_48H","N138_CN_48H","N138_CN_48H","N138","CN","48H","CN_48H",48
"N138_CN_6H","N138_CN_6H","N138_CN_6H","N138","CN","6H","CN_6H",6
"N138_MB_24H","N138_MB_24H","N138_MB_24H","N138","MB","24H","MB_24H",24
"N138_MB_2H","N138_MB_2H","N138_MB_2H","N138","MB","2H","MB_2H",2
"N138_MB_48H","N138_MB_48H","N138_MB_48H","N138","MB","48H","MB_48H",48
"N138_MB_6H","N138_MB_6H","N138_MB_6H","N138","MB","6H","MB_6H",6
"N138_TB_24H","N138_TB_24H","N138_TB_24H","N138","TB","24H","TB_24H",24
"N138_TB_2H","N138_TB_2H","N138_TB_2H","N138","TB","2H","TB_2H",2
"N138_TB_48H","N138_TB_48H","N138_TB_48H","N138","TB","48H","TB_48H",48
"N138_TB_6H","N138_TB_6H","N138_TB_6H","N138","TB","6H","TB_6H",6
"N158R_CN_24H","N158R_CN_24H","N158R_CN_24H","N158R","CN","24H","CN_24H",24
"N158R_CN_2H","N158R_CN_2H","N158R_CN_2H","N158R","CN","2H","CN_2H",2
"N158R_CN_48H","N158R_CN_48H","N158R_CN_48H","N158R","CN","48H","CN_48H",48
"N158R_CN_6H","N158R_CN_6H","N158R_CN_6H","N158R","CN","6H","CN_6H",6
"N158R_MB_24H","N158R_MB_24H","N158R_MB_24H","N158R","MB","24H","MB_24H",24
"N158R_MB_2H","N158R_MB_2H","N158R_MB_2H","N158R","MB","2H","MB_2H",2
"N158R_MB_48H","N158R_MB_48H","N158R_MB_48H","N158R","MB","48H","MB_48H",48
"N158R_MB_6H","N158R_MB_6H","N158R_MB_6H","N158R","MB","6H","MB_6H",6
"N158R_TB_24H","N158R_TB_24H","N158R_TB_24H","N158R","TB","24H","TB_24H",24
"N158R_TB_2H","N158R_TB_2H","N158R_TB_2H","N158R","TB","2H","TB_2H",2
"N158R_TB_48H","N158R_TB_48H","N158R_TB_48H","N158R","TB","48H","TB_48H",48
"N158R_TB_6H","N158R_TB_6H","N158R_TB_6H","N158R","TB","6H","TB_6H",6
"N1855_CN_24H","N1855_CN_24H","N1855_CN_24H","N1855","CN","24H","CN_24H",24
"N1855_CN_2H","N1855_CN_2H","N1855_CN_2H","N1855","CN","2H","CN_2H",2
"N1855_CN_48H","N1855_CN_48H","N1855_CN_48H","N1855","CN","48H","CN_48H",48
"N1855_CN_6H","N1855_CN_6H","N1855_CN_6H","N1855","CN","6H","CN_6H",6
"N1855_MB_24H","N1855_MB_24H","N1855_MB_24H","N1855","MB","24H","MB_24H",24
"N1855_MB_2H","N1855_MB_2H","N1855_MB_2H","N1855","MB","2H","MB_2H",2
"N1855_MB_48H","N1855_MB_48H","N1855_MB_48H","N1855","MB","48H","MB_48H",48
"N1855_MB_6H","N1855_MB_6H","N1855_MB_6H","N1855","MB","6H","MB_6H",6
"N1855_TB_24H","N1855_TB_24H","N1855_TB_24H","N1855","TB","24H","TB_24H",24
"N1855_TB_2H","N1855_TB_2H","N1855_TB_2H","N1855","TB","2H","TB_2H",2
"N1855_TB_48H","N1855_TB_48H","N1855_TB_48H","N1855","TB","48H","TB_48H",48
"N1855_TB_6H","N1855_TB_6H","N1855_TB_6H","N1855","TB","6H","TB_6H",6
"N1859_CN_24H","N1859_CN_24H","N1859_CN_24H","N1859","CN","24H","CN_24H",24
"N1859_CN_2H","N1859_CN_2H","N1859_CN_2H","N1859","CN","2H","CN_2H",2
"N1859_CN_48H","N1859_CN_48H","N1859_CN_48H","N1859","CN","48H","CN_48H",48
"N1859_CN_6H","N1859_CN_6H","N1859_CN_6H","N1859","CN","6H","CN_6H",6
"N1859_MB_24H","N1859_MB_24H","N1859_MB_24H","N1859","MB","24H","MB_24H",24
"N1859_MB_2H","N1859_MB_2H","N1859_MB_2H","N1859","MB","2H","MB_2H",2
"N1859_MB_48H","N1859_MB_48H","N1859_MB_48H","N1859","MB","48H","MB_48H",48
"N1859_MB_6H","N1859_MB_6H","N1859_MB_6H","N1859","MB","6H","MB_6H",6
"N1859_TB_24H","N1859_TB_24H","N1859_TB_24H","N1859","TB","24H","TB_24H",24
"N1859_TB_2H","N1859_TB_2H","N1859_TB_2H","N1859","TB","2H","TB_2H",2
"N1859_TB_48H","N1859_TB_48H","N1859_TB_48H","N1859","TB","48H","TB_48H",48
"N1859_TB_6H","N1859_TB_6H","N1859_TB_6H","N1859","TB","6H","TB_6H",6
"N1861_CN_24H","N1861_CN_24H","N1861_CN_24H","N1861","CN","24H","CN_24H",24
"N1861_CN_2H","N1861_CN_2H","N1861_CN_2H","N1861","CN","2H","CN_2H",2
"N1861_CN_6H","N1861_CN_6H","N1861_CN_6H","N1861","CN","6H","CN_6H",6
"N1861_MB_24H","N1861_MB_24H","N1861_MB_24H","N1861","MB","24H","MB_24H",24
"N1861_MB_2H","N1861_MB_2H","N1861_MB_2H","N1861","MB","2H","MB_2H",2
"N1861_MB_6H","N1861_MB_6H","N1861_MB_6H","N1861","MB","6H","MB_6H",6
"N1861_TB_24H","N1861_TB_24H","N1861_TB_24H","N1861","TB","24H","TB_24H",24
"N1861_TB_2H","N1861_TB_2H","N1861_TB_2H","N1861","TB","2H","TB_2H",2
"N1861_TB_6H","N1861_TB_6H","N1861_TB_6H","N1861","TB","6H","TB_6H",6
"N1864_CN_24H","N1864_CN_24H","N1864_CN_24H","N1864","CN","24H","CN_24H",24
"N1864_CN_2H","N1864_CN_2H","N1864_CN_2H","N1864","CN","2H","CN_2H",2
"N1864_CN_48H","N1864_CN_48H","N1864_CN_48H","N1864","CN","48H","CN_48H",48
"N1864_CN_6H","N1864_CN_6H","N1864_CN_6H","N1864","CN","6H","CN_6H",6
"N1864_MB_24H","N1864_MB_24H","N1864_MB_24H","N1864","MB","24H","MB_24H",24
"N1864_MB_2H","N1864_MB_2H","N1864_MB_2H","N1864","MB","2H","MB_2H",2
"N1864_MB_48H","N1864_MB_48H","N1864_MB_48H","N1864","MB","48H","MB_48H",48
"N1864_MB_6H","N1864_MB_6H","N1864_MB_6H","N1864","MB","6H","MB_6H",6
"N1864_TB_24H","N1864_TB_24H","N1864_TB_24H","N1864","TB","24H","TB_24H",24
"N1864_TB_2H","N1864_TB_2H","N1864_TB_2H","N1864","TB","2H","TB_2H",2
"N1864_TB_48H","N1864_TB_48H","N1864_TB_48H","N1864","TB","48H","TB_48H",48
"N1864_TB_6H","N1864_TB_6H","N1864_TB_6H","N1864","TB","6H","TB_6H",6
"N1870_CN_24H","N1870_CN_24H","N1870_CN_24H","N1870","CN","24H","CN_24H",24
"N1870_CN_2H","N1870_CN_2H","N1870_CN_2H","N1870","CN","2H","CN_2H",2
"N1870_CN_48H","N1870_CN_48H","N1870_CN_48H","N1870","CN","48H","CN_48H",48
"N1870_CN_6H","N1870_CN_6H","N1870_CN_6H","N1870","CN","6H","CN_6H",6
"N1870_MB_24H","N1870_MB_24H","N1870_MB_24H","N1870","MB","24H","MB_24H",24
"N1870_MB_2H","N1870_MB_2H","N1870_MB_2H","N1870","MB","2H","MB_2H",2
"N1870_MB_48H","N1870_MB_48H","N1870_MB_48H","N1870","MB","48H","MB_48H",48
"N1870_MB_6H","N1870_MB_6H","N1870_MB_6H","N1870","MB","6H","MB_6H",6
"N1870_TB_24H","N1870_TB_24H","N1870_TB_24H","N1870","TB","24H","TB_24H",24
"N1870_TB_2H","N1870_TB_2H","N1870_TB_2H","N1870","TB","2H","TB_2H",2
"N1870_TB_48H","N1870_TB_48H","N1870_TB_48H","N1870","TB","48H","TB_48H",48
"N1870_TB_6H","N1870_TB_6H","N1870_TB_6H","N1870","TB","6H","TB_6H",6
"N98_CN_24H","N98_CN_24H","N98_CN_24H","N98","CN","24H","CN_24H",24
"N98_CN_2H","N98_CN_2H","N98_CN_2H","N98","CN","2H","CN_2H",2
"N98_CN_48H","N98_CN_48H","N98_CN_48H","N98","CN","48H","CN_48H",48
"N98_CN_6H","N98_CN_6H","N98_CN_6H","N98","CN","6H","CN_6H",6
"N98_MB_24H","N98_MB_24H","N98_MB_24H","N98","MB","24H","MB_24H",24
"N98_MB_2H","N98_MB_2H","N98_MB_2H","N98","MB","2H","MB_2H",2
"N98_MB_48H","N98_MB_48H","N98_MB_48H","N98","MB","48H","MB_48H",48
"N98_MB_6H","N98_MB_6H","N98_MB_6H","N98","MB","6H","MB_6H",6
"N98_TB_24H","N98_TB_24H","N98_TB_24H","N98","TB","24H","TB_24H",24
"N98_TB_2H","N98_TB_2H","N98_TB_2H","N98","TB","2H","TB_2H",2
"N98_TB_48H","N98_TB_48H","N98_TB_48H","N98","TB","48H","TB_48H",48
"N98_TB_6H","N98_TB_6H","N98_TB_6H","N98","TB","6H","TB_6H",6
